A.bte	abbots
schneller	faster
schnellere	faster
schnitzen	carve
schnitzen	whittle
schnorren[Verb]	cadge
schnu.rsenkel (m)[Noun]	shoelace
schnupfen	cold
schnüren	lace
schon[Adjective]	already
schraffieren	shade
schrauben	screw
schrecklich	terrible
schrecklich[Adjective]	abominably
schreibe	write
schreiben	letter
schreiben	type
schreiben	write
schreiben abfassen	pen
schreibend	writing
schreibt	write
schreien	cry
schreien	yell
schreiend	yelling
schrie	yelled
schrieb	wrote
schriftlich	written
schriftsetzend	typesetting
schriftstück	writing
schuhanzieher	shoehorn
schuhmacher[Noun]	shoemaker
schuldig	due
schultern	shoulder
schuppig[Adjective]	dandruffy
schwa.chen[Verb]	weaken
schwa.cher[Adjective]	feebler
schwa.cher[Adjective]	weaker
schwa.chlich[Adjective]	weakish
schwa.chste[Adjective]	feeblest
schwa.chste[Adjective]	weakest
schwach	weak
schwach[Adjective]	feeble
schwach[Adverb]	weakly
schwaetzt	babbles
schwanken	vacillate
schwankern	vacillate
schwarz	black
schwarze	black
schwatzen	babble
schwer	hard
schwer[Adjective]	heavy
schwer[Adverb]	heavenly
schwerer[Adjective]	heavier
schwerflüssig	viscous
schwerfällig	stodgy
schwimmend	swimming
schwimmend, auf dem Meere	afloat
schwindlig	dizzy
schwul[Adjective]	gay
schwul[Adjective]	gayly
schwuler[Adjective]	gayer
schädigen	wrong
schädigte	damaged
schäfer-	pastoral
schändlich	infamous
schön	beautiful
schön	fair
schön	nice
scwaetzen	babbling
sechs	six
sechshundert	six hundred
sechst-	sixth
sechste	sixth
sechszehn	sixteen
sechszig	sixty
sechzehn	sixteen
sechzig	sixty
see-	marine
seezunge	sole
segeln	sail
sehe	see
sehen	look
sehen	see
sehnen	long
sehnen	yearn
sehnsüchtig	longing
sehr	a lot
sehr	very
seicht	insipid
seid	are
sein	be
sein	his
sein	its
seine	his
seine	its
seinem	its
seinen	its
seiner	his
seiner	its
seines	his
seines	its
seit	for
seit	from
seit	since
seitdem	since
seitdem weil insofern	since
selber	herself
selber	yourself
selbst	her
selbst	himself
selbst	itself
selbst	self
selbst	yourself
selbsttätig	automatic
selten	rare
seltsam	queer
seltsam	strange
seltsam	weird
seltsam, niedlich[Adverb]	quaintly
seltsamer Typ, komischer Kauz	weirdie
seltsamer Typ, komischer Kauz	weirdo
seltsamer, merkwürdiger	weirder
seltsamkomisch	quizzical
senden	send
senden	ship
senden	transmit
senken	sink
senkrecht	vertical
servierend	servicing
servierend	serving
setzen	put
setzen	set
setzend	setting
setzte auf	sat up
sexually	sexual
sexuell	sexual
sich	herself
sich	itself
sich	yourself
sich aneignen	usurp
sich aus dem Staub gemacht	absconded
sich aus dem Staub machen	abscond
sich beeilen[Verb]	hasting
sich bemächtigen	usurp
sich enthalten	abstain
sich enthalten	abstainer
sich entschuldigen	apologize
sich erinnern	remember
sich fragen	wonder
sich niederlassen	establishing
sich rasieren	shave
sich schlagen	fight
sich sehnen	yearn
sich umziehen	change
sich verbergen	abscond
sich verändern	vary
sicher	safe
sicher	safely
sicher	secure
sicherer[Adjective]	safer
sichern	ensure
sichern	protect
sichern	save
sichern	secure
sichern retten	save
sicherstellen	ensure
sicherstellen garantieren	ensure
sickern[Verb]	ooze
sickert[Verb]	oozes
sieben	seven
siebenhundert	seven hundred
siebent	seventh
siebent-	seventh
siebente	seventh
siebt-	seventh
siebzehn	seventeen
siebzig	seventy
sieden	boil
siedend, kochend, in Wallung	aboil
siedete	boiled
siegeln	seal
siegen	win
siehe	see
sieht	see
sieselber	herself
silbern	silver
sind	are
singen	chant
singen	sing
singend	singing
sinken	sink
sinkend	downward
sinnverwandtes Wort (n)	synonym
sitzen	fit
sitzend	sitting
skandinavisch	Scandinavian
ski laufend	skiing
slack	lose
sntspannt[Adjective]	unbent
so	also
so lang wie	as long as
so ungefähr	thereabouts
sobald	as soon as
sobald	soon
sobald	when
sogar	yet
sohle	sole
sollte	should
someday[Adverb]	mandril
sonder	special
sonder	without
sonderbar	queer
sonderbar	unaccountable
sonderlich	peculiar
sonnig	sunny
sonstig	other
sorgen	care
sorgenfrei	carefree
sorgenlos	carefree
sorgfältig	careful
sorgfältig	carefully
sorglos	carefree
sorgsam	careful
sowieso	anyhow
spanisch	Spanish
spanische	spain
spannend	interesting
spannte an	strained
spannungslos	cold
sparen	save
sparsam	economical
sparsam	economically
spart	save
spazieren	walk
spazierengehen	walk
speisen	eat
speisend	dining
spenden	donate
spenden	give
sperren	lock
sperrte	blocked
spezial	special
spiegeln	mirror
spielen	play
spielen um geld	gamble
splittern	splinter
sprechen Sie (...)	do you speak (...)
sprechen Sie lauter, bitte	speak louder please
sprechen jemand hier Englisch	does anyone here speak English
spricht jemand (...) hier	is there anyone here who speaks (...)
spricht jemand Englisch hier	is there someone who speaks English here
springen	branch
springen	spring
spritzen	spray
sprunghaft	jumpy
spröde	reserved
sprühen	spray
spät	late
später	later
spülen	wash
sta.ndig[Adverb]	habitually
staatlich	d'etat
staffeln Graduierte (m)	graduate
stampfen	stamp
standby	ersatz
standort	located
stark	strong
starten	start
starten	take-off
statt	instead
stattdessen	instead
stattlich	handsome
staunen	wonder
stechen	jab
stecken Sie die Zunge raus	stick out your tongue
stehen	stand
steigen	climb
steigen	rise
stellen	put
stellt her[Verb]	fabricates
stempeln	clock
steppen	stitch
sterben	die
steuern	pilot
steuern	steer
stier	glassy
stier	steer
stiften	donate
still	quiet
still	still
stillen	quench
stimmen	vote
stimmlich	vocal
stimmungsvoll	intimate
stopfte	stuffed
stoppte ab	clocked
story[Conjunction]	mandibulate
stotterer	stutter
stottern	stutterer
stoßen	kick
strafbar[Adverb]	punishable
straff	tight
strahlen	radiate
strahlenbiologisch[Adjective]	radiobiologic
strahlenbiologisch[Adjective]	radiobiological
strahlenbiologisch[Adverb]	radiobiologically
strahlend[Adjective]	radiating
stramm	tight
strampeln	kick
strapazieren	tax
streicheln	caress
streichen	paint
streichen	spread
streiten	fight
stricken	knit
strickend	knitting
strickte	knitted
striegeln	curry
strong cold thing	ice
strömen	stream
stu.rm[Adjective]	storm
stufenweise	gradual
stumpf	stupid
städtisch	municipal
ständig	permanent
ständig	permanently
ständig sprechen	talk incessantly
stärken	starch
stärkend	tonic
stören	upset
suchen	search
suchend für	searching for
sud Amerikanisch	South American
suendig, boese; krankhaft, faul	peccant
suhen[Verb]	seek
summen	buzz
super-	super
surren	buzz
surrogate	ersatz
sägen	saw
säuberlich	careful
süd	south
südwest	southwest
südwestlich	southwest
südöstlich	southeast
süß	sweet
süß	sweetly
taeglich[Adjective]	daily
taenzerisch[Adverb]	dancelike
taetig	active
taglich	per diem
tanzen	dance
tanzend	dancing
tanzte alle Nacht	danced all night
tarnen	screen
tat	did
tatsächlich	real
tatsächlich wirklich	really
tauchen	dip
tauchen	dive
tauchen	duck
tauchend	diving
tauglich	fit
tauglich	useful
tausend	one thousand
tausendneunhundertfünfundneunzig	nineteen hundred ninety five
telefonieren	phone
telefonieren	telephone
tief	deeply
tiefrot[Adjective]	magenta
tierisch	animal
tierkreis	zodiac
tilgen	delete
tintinfische[Noun]	squid
tippen	type
tische	tables
to.ten[Noun]	kill
to[Verb]	mandible
toastete	toasted
toben	rage
toll	crazy
toll, Wildfang, Tollkopf[Noun]	madcap
tollwütig[Adjective]	rabid
tonne (f)	ton
torfig	peaty
tosen	rage
tot	dead
touristklasse Fahrkarte (f)	tourist-class ticket
traben	jog
tragen	bear
tragen	carry
tragen	shoulder
tragen[Verb]	wear
trainieren	coach
trainieren	train
trank	drank
tranpen	hitchhike
transferieren	transfer
tratschen	gossip
trauern	grieve
traurig	sorry
traurig, traurigerweise, bedauerlich[Adjective]	sadly
traurig[Adjective]	sad
trauriger[Adjective]	sadder
trefflich	excellent
treten	kick
treten	step
treu	faithfully
treu	true
treulich	faithfully
trickreich	tricky
trinken	drink
triumphieren	triumph
trocken	dry
trocknen	dry
tropisch	tropic
tropisch	tropical
trottelhaft[Adjective]	daffy
trottelhaft[Adjective]	daft
trunk	drink
träge	slow
tränenreich[Adjective]	tearful
tränken	water
tröpfeld	dripping
tröpfeln	dribble
trübe	cloudy
tumultartig, la.rmend[Adjective]	uproarious
tun	do
tut das weh	does that hurt
twelve	number
tönen	ring
u.bend[Adjective]	exercising
u.berfordert[Adjective]	overtaxed
u.berwa.ltigend[Adverb]	unbearably
u.ppig[Adjective]	buxom
ueberall	everywhere
uebereinstimmung	agree
uebererdig[Adverb]	aboveground
ulimativ, letzendlich[Adjective]	ultimately
ultimativ[Verb]	ultimate
ultra[Adverb]	ultra
ultramarin(blau)[Adjective]	ultramarine
ultramodern[Adjective]	ultramodern
ultraviolett (Strahlung, Licht)[Adjective]	ultraviolet
um	about
um	at
um,etwa,circa	about
umarbeiten	revise
umarmen[Verb]	hugging
umbrabraun[Adjective]	umber
umdrehen	upturn
umfahren	circle
umfahrt[Noun]	bypass
umfassend	global
umher	about
umherwandern	wander
umkehren	reverse
umkreisend	going around in circles
umkreisend	orbiting
umlegen	put on
umschalten	switch
umsetzen	sell
umsichtig	canny
umsteigen	change
umsteigen	transfer
umtun	apply
una.r[Adjective]	unary
unangeku.ndigt[Verb]	unannounced
unangepasst[Adjective]	unaccommodated
unangepaßt[Adjective]	unadapted
unannehmbar	unacceptable
unappetitlich	nasty
unartig	nasty
unartikuliert[Adjective]	unarticulated
unattraktiv[Adjective]	unattractive
unausgeglichen[Verb]	unbalanced
unausstehlich	insufferable
unbeachtet	ignore
unbeantwortbar[Adjective]	unanswerable
unbeantworted[Verb]	unanswered
unbefangen	naive
unbefangen	natural
unbefugt	unauthorized
unbefugten ist das Betreten verboten	trespassers will be prosecuted
unbegleitet, alleine[Adjective]	unaccompanied
unberechtigt	unauthorized
unbescha.mt[Adjective]	unashamed
unbeschrieben	blank
unbesetzt	not occupied
unbesetzt	vacant
unbesorgt	carefree
unbestimmt, vage[Adjective]	unassertive
unbetroffen[Verb]	unaffected
unbewaffnet	unarmed
unblockiert, frei[Adjective]	unblocked
und	and
understudy	ersatz
unecht	phony
uneinig	disagree
unerkla.rlich[Adjective]	unaccounted
unerkla.rlicherweise[Adverb]	unaccountably
unerklaerlich	unaccountable
unerklärt für	unaccounted for
unerlaubte	unauthorized
unerreichbar[Adjective]	unaccessible
unerreichbar[Adjective]	unachievable
unerreicht[Verb]	unachieved
unerschrocken[Verb]	unafraid
unertra.glich	maddeningly
unertra.glich[Adjective]	unbearable
unerträglich	insufferable
unerwarted[Verb]	unanticipated
unfähig	unable
ungebaut[Verb]	unbuild
ungebaut[Verb]	unbuilt
ungebeten, unaufgefordert[Adjective]	unbidden
ungebohren[Adjective]	unborn
ungebunden[Verb]	unbound
ungebunden[Verb]	unbounded
ungeeignet, untauglich[Adjective]	unapt
ungefragt[Adjective]	unasked
ungefähr	about
ungefährlich	safe
ungeheuer	monumental
ungeku.rzt[Adjective]	unabridged
ungekünstelt	natural
ungenau[Adjective]	inaccurate
ungenau[Adverb]	inaccurately
ungeschlagen[Adjective]	unbeaten
ungeschu.tzt, ungepanzert	unarmored
ungewohnt[Adjective]	unaccustomed
ungla.ubig[Adjective]	unbelieving
unglaublich[Adjective]	unbelievable
unjustiert[Adjective]	unadjusted
unkosten	overhead
unkrempeln	upset
unno.tig[Adjective]	needless
unno.tigerweise[Adverb]	needlessly
unordentlich	messy
unpassend	inept
unrecht	wrong
unruhig; aengstlich; bekuemmert	anxious
uns	us
unschicklich, unziemlich[Adjective]	unbecoming
unschicklich, unziemlich[Adverb]	unbecomingly
unschlagbar, unbesiegbar[Adjective]	unbeatable
unsicher[Adjective]	uncertain
unständlich	particular
unten	below
unten	under
unter	below
unter	under
unter-	under
unterbringen	accommodate
untergekocht	under-cooked
unterladen	download
unterrichten	educate
unterrichten	instruct
unterschreiben	sign
unterstreichen[Verb]	punctuate
unterstrich[Verb]	punctuated
unterstu.tzt[Verb]	backed
unterstützen	back
untersuchen	scan
unterwu.rfig	abject
unterzeichnen	subscribe
untragbar, unannehmbar, unakzeptabel[Adverb]	unacceptably
untüchtig	inept
unvera.ndert[Verb]	unaltered
unvera.usserlich[Adjective]	inalienable
unverantwortlich	unaccountable
unverbrannt[Adjective]	unburned
unverfa.lscht rein, unverdu.nnt[Adjective]	unadulterated
unverfroren[Adjective]	unabashed
unverfälscht	straight
unverfänglich	natural
unvermeidlich[Adjective]	unavoidable
unvermeidlich[Adverb]	unavoidably
unvermindert[Adjective]	unabated
unverschlossen[Adjective]	unbarred
unversehrt	safe
unverzweigt[Adjective]	unbranched
unvorbereitet	unprepared
unwissend	ignorant
unwohl überdrüssig	sick
unzerbrechlich[Adjective]	unbreakable
unzuga.nglich, unnahbar[Adjective]	unapproachable
unzuga.nglich[Adjective]	inaccessible
unzweideutig, eindeutig[Adjective]	unbiased
ur-	very old
ural	ham
uralt	ancient
uralt	very old
uralt; alt	ancient
urherberrecht	copyright
urteilen	judge
usurpieren	usurp
vanille	vanilla
variabel	variable
variieren	vary
vegetieren[Verb]	vegetate
vegetierend[Verb]	vegetating
vegetiert[Verb]	vegetated
vegetiert[Verb]	vegetates
vehement[Adjective]	vehement
vehement[Adverb]	vehemently
verachted	abhorred
verachten	abhor
verallgemeinernd	generalizing
verandern	change
veranderte meine Meinung	changed my mind
veranstalten	put on
verarbeiten	process
verband	joined
verbannen	banishing
verbannt	banished
verbannt	banishes
verbessert, angehoben[Adjective]	upgraded
verbietbar[Adjective]	abolishable
verbieten	forbid
verbinden	bandage
verbinden	bandaging
verbinden	connect
verbinden	contact
verbinden	join
verbirgt sich	absconds
verblühen	wither
verbot	banned
verboten	forbidden
verbraucht	used
verbrecherisch	criminal
verbrennen	burn
verbuchen	book
verbunden	incorporated
verdammt(vulg.)[Adjective]	dammit
verdammt[Adjective]	damned
verdecken	hood
verdichten	compact
verdienen[Verb]	earn
verdienen[Verb]	earning
verdient[Adjective]	earned
verdient[Verb]	earns
verdolmetschen	translate
verdoppeln	double
verdorren	wither
verdrahten	wire
verdrießen	grieve
verdunkeln, abdunkeln[Verb]	darken
verehren	adore
verehren[Verb]	venerate
verehrt[Verb]	venerated
verehrt[Verb]	venerates
vereinbaren	agree
vereinigen	get together
vereinigt	united
vereinigte	united
vereint	incorporated
vereitert[Adjective]	ulcerated
verengend[Adjective]	narrowing
verengt[Adjective]	narrowed
verfahren	process
verfassen	write
verfehlen	miss
verfertiger	abbreviator
verfilmen	film
verfolgen	pursue
vergangen	past
vergangene[Adjective]	bygone
vergass	forgot
vergebbar	forgettable
vergebbar	forgiveable
vergebbar	forgiveably
vergeben	forgive
vergeben	forgiven
vergeblich, umsonst[Adjective]	unavailing
vergeblich[Adverb]	unavailingly
vergessen	forget
vergessen	forgotten
vergessend	forgetting
vergesslich	forgetful
vergesslich	forgetfully
vergeuden	waste
vergewissern	confirm
vergiften	poison
vergittert	grilled
verglasen	glass
vergnügen	amuse
vergnüglich	amusing
vergoldete	gilded
vergro.ssern[Verb]	magnify
vergro.ssernd, Vergro.sserungs-[Adjective]	magnifying
vergro.ssert[Verb]	magnified
vergro.sserung (um)[Verb]	magnifies
verhaftete	arrested
verhalten	be
verhasst[Adjective]	odious
verhasst[Adverb]	odiously
verhaßt, zuwider[Adjective]	abhorrent
verheiratet	married
verhäßtlich[Adverb]	abhorrently
verhüllen	envelope
verkalken[Verb]	calcify
verkaufen	sell
verkehrt	wrong
verknüpfen	associate
verknüpfen	connect
verknüpfte	knotted
verkommen	decay
verkommen	deteriorate
verkrampfen	cramp
verku.rzt	abbreviated
verkümmern	wither
verla.ngern[Verb]	lengthen
verla.ngert[Adjective]	lengthened
verladen	ship
verlaesst	abandons
verlangen	ask
verlangen	long for
verlangen	require
verlangen[Verb]	yearn
verlassen	leave
verlassen	quit
verlassen, verworfen	abandoned
verlassen[Adjective]	abandoned
verlassen[Verb]	abandon
verlassen[Verb]	abandon
verlassend	abandoning
verlaufen	bleed
verletzen	hurt
verleumden	backbite
verleumden	backstabbing
verlieren	lose
verloren	lost
verlust	miss
verlängern	renew
vermauerte	walled
vermieten	let
vermieten	rent
vermindernd[Verb]	abating
vermindert[Verb]	abated
vermindert[Verb]	abates
vermissen	miss
vermählend	wedding
vernetzen	net
vernetzen	network
vernichten	annihilate
vernähen	sew
vernähend	sewing
verpacken	pack
verpackt	packaged
verpassen	miss
verpflichten[Verb]	obligate
verpflichtet[Verb]	obligates
verrichten	do
verringern, vermindern	abate
verru.ckt[Adjective]	mad
verrucht	infamous
verrufen	infamous
verrückt	crazy
verrückt	wacky
verrückt	wild
verschickt[Verb]	mailed
verschiffte	shipped
verschleiert[Adjective]	veiled
verschliessbar[Adjective]	lockable
verschließen	close
verschlimmern	aggravate
verschlimmert	aggravates
verschlimmerung	aggravation
verschlossen	closed
verschlossen	locked
verschlossen	reserved
verschloß	locked
verschlüsselt	scrambled
verschnürte	tied
verschwenden	waste
verschwendet[Adjective]	wasted
versenden	mail
versenden	ship
versichern	assure
versichern, sicherstellen[Verb]	insure
versichert[Verb]	insured
versilbern	silver
verspätet	late
verstehen	got it
versteigern	auction
verstopft	blocked
verstopfte	constipated
verstu.mmeln[Verb]	maim
verstu.mmelt[Verb]	maimed
verständig	intelligent
versuchen, probieren[Verb]	try
versäumen	miss
verteilen	distribute
vertrag schliessen	contract
vertrag unterzeichnen	subscribe
vertraglich	contractual
vertraut	familiar
vertraut	intimate
vertreten	represent
vertrokken	v
verurteilen	sentence
vervierfachen[Verb]	quadruple
vervierfacht [Adjective]	quadrupled
vervollständigt	completed
verwalten[Verb]	administer
verwaltent	administered
verwechseln	confuse
verwelken	wither
verwerfen	abolish
verwinden	overcome
verwirren	confuse
verwittert	weatherworn
verwunden	wound
verwundern	baffle
verwundern	baffling
verwundert	baffled
verwundert	baffles
verzeihen	forgive
verzeihen[Verb]	absolve
verzeihlich	forgivable
verzeihlich	forgivably
verzeihung	sorry
verzichten auf	forgo
verzweigen	branch
verzwickt	tricky
verzögern	delay
verzögert	delayed
verzögerte	delayed
veränderlich	variable
verändern	vary
verübeln	resent
vibrieren[Verb]	vibrate
vibriert[Verb]	vibrated
